,county,covid-19,Total Population,gender,poverty,education,ethnicity,white,black,american indian,asian,native hawaiian,income,marriage,non-white
856,"Atchison County, Kansas",1251,16210,8371,889,1358,583,13925,785,78,80,6,42974,7570.07,943
857,"Barber County, Kansas",283,4493,2175,423,440,162,3814,7,34,16,5,49804,2578.982,57
858,"Barton County, Kansas",2201,26209,13485,1523,2734,4127,19911,293,90,80,3,49436,14257.696,463
859,"Bourbon County, Kansas",927,14539,7398,685,1431,386,12451,454,88,98,2,44521,8054.606,640
860,"Brown County, Kansas",1023,9575,4935,659,1002,352,7683,97,795,42,6,48026,5371.575,934
861,"Butler County, Kansas",5314,66890,33198,2647,9128,3578,56846,1398,489,996,37,50789,38863.09,2883
862,"Chase County, Kansas",238,2604,1276,59,369,222,2228,18,8,8,1,56852,1502.508,34
863,"Chautauqua County, Kansas",180,3280,1545,178,264,138,2822,23,185,18,0,44908,1849.92,226
864,"Cherokee County, Kansas",1709,20017,10250,932,1919,514,16241,79,771,65,26,44739,10048.534,915
865,"Cheyenne County, Kansas",275,2639,1320,231,401,238,2223,6,7,12,0,54465,1348.529,25
866,"Clark County, Kansas",191,2006,957,95,336,203,1668,1,20,24,1,60647,1159.468,45
867,"Clay County, Kansas",611,8030,4011,302,1065,218,7486,50,34,49,0,47126,4826.03,133
868,"Cloud County, Kansas",853,8831,4400,447,870,319,8235,123,40,40,4,44452,4733.416,203
869,"Coffey County, Kansas",508,8218,4059,352,1143,221,7670,45,36,44,1,56988,4832.184,125
870,"Comanche County, Kansas",150,1759,889,39,186,98,1520,10,2,0,1,46141,921.716,12
871,"Cowley County, Kansas",2544,35090,17484,2149,3516,3971,26227,865,626,499,179,42334,17509.91,1990
872,"Crawford County, Kansas",3379,38874,19278,3500,5047,2716,31937,899,320,461,191,42963,17143.434,1680
873,"Decatur County, Kansas",231,2826,1415,274,377,76,2565,9,7,10,0,51018,1607.994,26
874,"Dickinson County, Kansas",1239,18614,9284,655,2478,905,16451,105,74,74,20,47348,10498.296,253
875,"Doniphan County, Kansas",722,7616,3752,382,747,204,6614,266,66,32,19,44885,4021.248,364
876,"Douglas County, Kansas",6482,121304,61062,10088,23914,8295,90281,5104,2579,4657,84,47494,51918.112,12340
877,"Edwards County, Kansas",240,2822,1408,101,332,623,2157,14,15,1,1,61904,1650.87,30
878,"Elk County, Kansas",106,2502,1264,146,184,101,2214,1,43,3,0,42431,1658.826,47
879,"Ellis County, Kansas",3210,28747,14556,1601,4986,2016,25109,318,65,265,0,50785,13942.295,648
880,"Ellsworth County, Kansas",1048,6176,2645,145,847,365,5455,254,39,23,0,47276,3507.968,316
881,"Finney County, Kansas",5482,36451,17613,2136,2683,19883,14514,1362,164,1512,3,46899,18881.618,3038
882,"Ford County, Kansas",5138,33718,16150,1120,2309,19666,12455,885,101,394,6,45081,17432.206,1380
883,"Franklin County, Kansas",1757,25643,12717,1263,2327,1147,22818,303,190,103,7,46437,14283.151,596
884,"Geary County, Kansas",1759,33309,15500,2189,2909,5776,19957,6062,207,1183,452,54663,20584.962,7452
885,"Gove County, Kansas",332,2650,1300,65,320,83,2486,3,3,15,1,61150,1775.5,21
886,"Graham County, Kansas",204,2464,1310,106,371,62,2179,55,8,14,0,56190,1308.384,77
887,"Grant County, Kansas",912,7324,3507,593,635,3862,3211,10,55,8,3,44835,3998.904,73
888,"Gray County, Kansas",523,6020,2972,99,768,839,4629,19,5,14,0,60355,3931.06,38
889,"Greeley County, Kansas",93,1156,622,76,145,199,1036,0,4,5,0,89737,709.784,9
890,"Greenwood County, Kansas",452,6010,2938,247,665,204,5406,28,32,36,1,46032,3197.32,96
891,"Hamilton County, Kansas",186,2552,1205,172,244,1084,1361,10,12,5,0,75840,1288.76,27
892,"Harper County, Kansas",427,5506,2731,418,382,425,4714,16,74,15,2,57870,2984.252,105
893,"Harvey County, Kansas",2623,34434,17317,944,4981,4055,27349,596,183,260,10,46698,19627.38,1039
894,"Haskell County, Kansas",361,3990,2039,153,303,1119,2578,9,8,1,0,56311,2501.73,18
895,"Hodgeman County, Kansas",161,1872,945,76,307,96,1546,14,7,10,1,61030,1201.824,31
896,"Jackson County, Kansas",1018,13249,6639,420,1274,630,10534,95,1098,29,18,46523,7684.42,1222
897,"Jefferson County, Kansas",1173,18974,9414,428,2282,567,16549,99,124,41,27,48099,11612.088,264
898,"Jewell County, Kansas",193,2854,1404,192,312,62,2743,4,10,10,0,55860,1897.91,24
899,"Johnson County, Kansas",38865,597574,304249,13013,150565,54389,460399,28092,1595,32856,346,80681,341812.328,62543
900,"Kearny County, Kansas",503,3863,2059,303,236,1396,2378,34,10,5,1,61932,1854.24,49
901,"Kingman County, Kansas",557,7173,3591,172,957,268,6829,28,27,33,4,50889,4354.011,88
902,"Kiowa County, Kansas",178,2483,1275,62,289,87,2158,43,10,16,4,48250,1320.956,69
903,"Labette County, Kansas",1922,19938,10080,924,2030,939,16077,838,425,90,9,47114,10587.078,1353
904,"Lane County, Kansas",127,1523,757,82,145,143,1375,0,8,0,2,72211,991.473,8
905,"Leavenworth County, Kansas",5044,81499,37955,2757,11655,5602,62503,6656,589,1060,138,46176,43194.47,8305
906,"Lincoln County, Kansas",208,3013,1487,176,324,130,2691,6,13,8,0,52328,1753.566,27
907,"Linn County, Kansas",518,9687,4786,723,835,238,8782,62,46,20,8,44155,5957.505,128
908,"Logan County, Kansas",273,2789,1359,176,291,195,2457,4,0,10,2,57732,1734.758,14
909,"Lyon County, Kansas",3366,33237,17140,2579,3812,7256,22219,599,122,566,5,43035,15654.627,1287
910,"Marion County, Kansas",678,11865,5892,432,1570,442,10750,118,35,39,7,46588,6383.37,192
911,"Marshall County, Kansas",855,9713,4869,153,891,227,9410,39,23,41,0,48358,5614.114,103
912,"McPherson County, Kansas",2348,28557,14512,923,4323,1592,26519,475,93,213,8,58438,17334.099,781
913,"Meade County, Kansas",394,4120,2055,157,377,797,3053,37,9,13,0,65633,2270.12,59
914,"Miami County, Kansas",1818,33740,16782,1172,4847,1196,30472,430,152,161,8,52811,20109.04,743
915,"Mitchell County, Kansas",386,6053,2954,448,836,157,5436,19,12,13,0,63384,3195.984,44
916,"Montgomery County, Kansas",2244,32114,16083,2654,3248,2414,23571,1533,946,191,24,40651,16185.456,2670
917,"Morris County, Kansas",404,5551,2753,222,782,227,4897,16,10,18,1,48171,3513.783,44
918,"Morton County, Kansas",201,2656,1388,178,222,591,1940,17,10,31,9,54151,1415.648,58
919,"Nemaha County, Kansas",1345,10109,4958,324,1288,266,9622,64,26,35,7,56013,5964.31,125
920,"Neosho County, Kansas",1192,16008,8238,791,1371,910,13767,131,127,84,6,43566,8660.328,342
921,"Ness County, Kansas",323,2838,1423,113,398,305,2305,2,9,2,0,60508,1946.868,13
922,"Norton County, Kansas",1179,5416,2460,166,643,311,4690,199,33,35,2,47679,2513.024,267
923,"Osage County, Kansas",816,15855,7914,1054,1380,457,14505,33,43,52,3,46698,9069.06,128
924,"Osborne County, Kansas",181,3494,1752,184,458,66,3285,1,19,18,0,51423,1781.94,38
925,"Ottawa County, Kansas",417,5776,2797,349,781,144,5268,30,22,10,0,45692,3500.256,62
926,"Pawnee County, Kansas",982,6539,2907,187,776,522,5154,246,24,28,0,43986,2936.011,298
927,"Phillips County, Kansas",578,5297,2638,225,636,142,4620,19,22,15,1,56496,2939.835,56
928,"Pottawatomie County, Kansas",1109,24203,12157,726,3493,1429,22065,271,109,194,27,57495,15054.266,574
929,"Pratt County, Kansas",681,9324,4657,436,1263,741,7872,106,40,45,7,53750,4699.296,191
930,"Rawlins County, Kansas",311,2490,1193,71,327,159,2242,18,3,11,0,65230,1623.48,32
931,"Reno County, Kansas",6938,62421,31066,3283,6019,6096,50316,1744,397,333,41,44529,31522.605,2474
932,"Republic County, Kansas",560,4607,2337,190,647,91,4402,15,13,11,9,49163,3022.192,39
933,"Rice County, Kansas",783,9532,4705,332,970,1290,7520,130,41,30,0,46275,5566.688,201
934,"Riley County, Kansas",4917,74059,34964,8070,12227,7470,51807,4759,305,3325,224,45177,27624.007,8389
935,"Rooks County, Kansas",461,4985,2581,88,644,116,4558,28,2,5,9,46817,2906.255,35
936,"Rush County, Kansas",343,2953,1452,113,424,132,2745,6,3,14,0,59190,1479.453,23
937,"Russell County, Kansas",721,6896,3507,425,775,236,6039,60,29,28,0,48430,3661.776,117
938,"Saline County, Kansas",4436,54384,27292,2021,6988,6642,41506,1732,233,1109,26,53320,27028.848,3074
939,"Scott County, Kansas",549,4893,2388,82,614,1027,3895,13,20,15,2,60520,3160.878,48
940,"Sedgwick County, Kansas",39423,515416,260861,31318,72288,82630,336271,45076,4450,22205,513,56550,252553.84,71731
941,"Seward County, Kansas",3552,21902,10395,1445,1214,14406,5928,611,66,517,1,43606,10228.234,1194
942,"Shawnee County, Kansas",11622,177293,91675,7764,25900,23861,125873,13531,1575,2480,162,51216,90064.844,17586
943,"Sheridan County, Kansas",383,2515,1239,60,339,145,2212,0,7,12,2,50691,1383.25,19
944,"Sherman County, Kansas",544,5904,2917,141,815,773,4798,103,12,13,1,48439,3542.4,128
945,"Smith County, Kansas",209,3594,1810,147,439,67,3370,12,15,9,0,54497,2386.416,36
946,"Stafford County, Kansas",269,4125,1979,144,558,503,3364,14,21,12,0,50623,2545.125,47
947,"Stanton County, Kansas",161,2030,996,292,195,909,1074,7,21,2,0,85633,1128.68,30
948,"Stevens County, Kansas",526,5498,2651,351,297,2020,3007,20,20,22,0,48686,2825.972,62
949,"Sumner County, Kansas",1338,22928,11331,1034,2878,1254,19347,200,215,73,0,44392,12725.04,488
950,"Thomas County, Kansas",931,7748,3985,353,794,632,6910,106,12,47,0,51457,4455.1,165
951,"Trego County, Kansas",292,2802,1394,36,330,64,2627,4,4,12,0,56311,1728.834,20
952,"Wabaunsee County, Kansas",442,6877,3373,183,699,317,6185,31,29,12,4,54428,4002.414,72
953,"Wallace County, Kansas",159,1583,793,98,265,80,1344,3,1,0,2,59159,1022.618,4
954,"Washington County, Kansas",436,5474,2636,177,602,275,5084,13,2,4,2,52731,3202.29,19
955,"Wichita County, Kansas",179,2112,1096,23,274,636,1412,1,8,0,2,61032,1229.184,9
956,"Wilson County, Kansas",662,8600,4369,542,873,261,7679,21,79,35,2,45341,5082.6,135
957,"Woodson County, Kansas",114,3117,1474,181,334,71,2864,8,27,0,0,43381,1586.553,35
958,"Wyandotte County, Kansas",15576,165447,83199,11358,14152,55814,63079,33945,725,7621,364,36961,70976.763,42291
959,"Adair County, Kentucky",1294,19366,9742,738,1423,643,17044,498,26,63,6,35880,9605.536,587
960,"Allen County, Kentucky",1167,21065,10612,2114,1683,574,18987,204,38,48,7,35499,10701.02,290
961,"Anderson County, Kentucky",971,22580,11483,1446,2372,521,21654,482,50,104,4,44009,11515.8,636
962,"Ballard County, Kentucky",233,7914,3969,600,588,93,7074,208,7,29,0,45124,4210.248,244
963,"Barren County, Kentucky",2563,44026,22865,4713,3241,1889,38804,1697,73,255,53,41057,22277.156,2025
964,"Bath County, Kentucky",505,12421,6235,1390,817,182,12125,127,4,16,1,35333,6595.551,147
965,"Bell County, Kentucky",1787,26426,13456,3104,946,244,22311,552,32,122,4,34618,12631.628,706
966,"Boone County, Kentucky",7800,132368,66760,3873,19110,7707,112602,5609,194,3048,307,53405,70949.248,8851
967,"Bourbon County, Kentucky",1000,19998,10202,1156,1934,1486,16770,1033,28,77,8,51624,9459.054,1138
968,"Boyd County, Kentucky",3003,47361,23716,3241,3965,714,44035,1306,89,277,6,43917,23206.89,1672
969,"Boyle County, Kentucky",2162,30090,15045,1538,3046,1490,25074,2155,38,361,3,43024,13390.05,2554
970,"Bracken County, Kentucky",275,8308,4110,674,355,90,7964,48,14,13,0,42258,4810.332,75
971,"Breathitt County, Kentucky",597,12802,6380,1802,613,93,13038,57,11,37,11,38011,6452.208,105
972,"Breckinridge County, Kentucky",658,20283,10171,1375,1285,284,18743,422,43,38,3,39084,10303.764,503
973,"Bullitt County, Kentucky",4134,80921,40515,2765,6270,2117,74787,1031,177,445,23,46618,44587.471,1653
974,"Butler County, Kentucky",814,12756,6368,1049,687,592,11370,15,22,21,3,38969,7219.896,58
975,"Caldwell County, Kentucky",869,12679,6506,1132,894,198,11190,654,21,53,2,40364,7163.635,728
976,"Calloway County, Kentucky",2344,38991,20096,2654,4937,1353,32235,1293,53,433,11,38629,18091.824,1779
977,"Campbell County, Kentucky",4650,93608,47793,5503,17199,2309,82743,2796,117,1024,30,53445,44276.584,3937
978,"Carlisle County, Kentucky",328,4738,2376,344,290,133,4443,59,27,10,0,48900,2601.162,96
979,"Carroll County, Kentucky",527,10691,5202,1249,385,795,9401,169,20,44,3,41568,4992.697,233
980,"Carter County, Kentucky",1363,26976,13585,3305,1497,254,25425,209,45,58,1,36002,13838.688,312
981,"Casey County, Kentucky",884,15968,8258,1287,790,539,14836,81,42,52,1,36436,7696.576,175
982,"Christian County, Kentucky",4310,71470,33736,5510,5700,5752,46400,15221,272,939,211,42884,34305.6,16432
983,"Clark County, Kentucky",1452,36152,18685,2564,3425,1477,32267,1635,63,209,14,43952,18401.368,1907
984,"Clay County, Kentucky",1623,20110,9523,2806,663,353,18686,816,26,21,11,35259,9793.57,863
985,"Clinton County, Kentucky",923,10175,5082,937,552,245,8680,39,10,10,3,35609,4731.375,59
986,"Crittenden County, Kentucky",336,8940,4409,408,484,113,8524,82,15,5,5,39879,4675.62,102
987,"Cumberland County, Kentucky",427,6660,3428,520,481,77,5445,150,1,2,6,44628,3016.98,153
988,"Daviess County, Kentucky",5737,101001,51663,7392,10807,4145,87327,4827,130,2417,59,46373,52015.515,7374
989,"Edmonson County, Kentucky",559,12195,6094,888,541,156,11486,98,31,32,7,37223,6865.785,161
990,"Elliott County, Kentucky",784,7461,3264,722,367,91,6875,246,14,10,0,27001,3536.514,270
991,"Estill County, Kentucky",670,14187,7236,1436,813,131,13619,30,23,7,0,36569,6440.898,60
992,"Fayette County, Kentucky",23169,322200,164388,23287,60706,29750,215343,47501,480,13374,133,54824,139834.8,61355
993,"Fleming County, Kentucky",711,14519,7369,1078,983,218,14314,148,22,17,3,39846,8421.02,187
994,"Floyd County, Kentucky",1805,35931,18378,5237,1938,308,34654,121,28,96,1,41330,19007.499,245
995,"Franklin County, Kentucky",2132,50744,26198,3331,6762,2047,41282,4444,91,1031,14,47009,23494.472,5566
996,"Fulton County, Kentucky",363,6064,3040,774,495,151,4566,1433,13,17,11,39745,2334.64,1463
997,"Gallatin County, Kentucky",426,8760,4254,658,459,492,7762,74,4,13,7,38178,4231.08,91
998,"Garrard County, Kentucky",940,17554,8975,1024,1316,451,15433,301,27,51,8,38822,10321.752,379
999,"Grant County, Kentucky",1289,25107,12740,1603,1535,741,22823,179,51,66,33,40772,12854.784,296
1000,"Graves County, Kentucky",2632,37125,18972,2971,2544,2773,30527,1551,96,173,3,42264,20047.5,1820
1001,"Grayson County, Kentucky",1295,26313,13257,2280,1163,364,24756,308,71,96,2,38959,12972.309,475
1002,"Green County, Kentucky",811,11000,5577,827,485,199,10361,160,17,28,2,39882,5643.0,205
1003,"Greenup County, Kentucky",2275,35359,18151,2738,2397,317,33974,219,68,230,5,45897,19270.655,517
1004,"Hancock County, Kentucky",447,8748,4264,864,489,162,8586,79,4,34,0,40261,5178.816,117
1005,"Hardin County, Kentucky",5949,109627,55119,5042,9932,6695,81085,12510,378,2243,400,47873,56129.024,15131
1006,"Harlan County, Kentucky",1538,26307,13656,3690,965,265,25001,541,54,85,0,35824,14284.701,680
1007,"Harrison County, Kentucky",729,18763,9618,1243,1320,387,17216,307,26,46,1,41079,10357.176,379
1008,"Hart County, Kentucky",1238,18833,9410,1514,909,334,17492,705,33,45,6,37418,9416.5,783
1009,"Henderson County, Kentucky",2939,45550,23560,3564,3630,1368,37323,3632,78,239,41,44793,23868.2,3949
1010,"Henry County, Kentucky",814,15999,8084,1238,904,545,14065,349,45,35,0,43426,8415.474,429
1011,"Hickman County, Kentucky",223,4461,2313,280,543,102,3866,380,6,11,0,46425,1909.308,397
