,county,covid-19,Total Population,gender,poverty,education,ethnicity,white,black,american indian,asian,native hawaiian,income,marriage,non-white
1354,"Oktibbeha County, Mississippi",3409,49593,24957,7900,6815,1268,29224,18228,93,1506,10,37853,16663.248,19827
1355,"Panola County, Mississippi",3202,34079,17732,2556,2492,678,15642,16035,52,62,4,37593,13290.81,16149
1356,"Pearl River County, Mississippi",2581,55512,28103,3348,3922,2284,44101,6666,256,275,0,40201,30809.16,7197
1357,"Perry County, Mississippi",878,11981,6103,990,565,154,8868,2097,45,29,3,36953,6086.348,2171
1358,"Pike County, Mississippi",2210,39365,20794,5639,2530,627,16769,21457,113,254,7,34718,15785.365,21824
1359,"Pontotoc County, Mississippi",3171,31996,16706,1619,2363,2048,23859,4208,56,55,5,37342,16669.916,4319
1360,"Prentiss County, Mississippi",2101,25155,12962,1337,1414,405,20166,3547,62,85,5,34158,12728.43,3694
1361,"Quitman County, Mississippi",600,7038,3751,1117,363,21,1484,4546,1,12,3,34239,2019.906,4559
1362,"Rankin County, Mississippi",8793,154119,79785,6395,22538,5067,111990,32430,255,2260,94,48295,82761.903,34945
1363,"Scott County, Mississippi",2131,28288,14094,2820,1286,4148,13145,9923,95,103,0,32840,13549.952,10121
1364,"Sharkey County, Mississippi",387,4427,2366,426,378,61,962,2671,0,14,3,42775,1832.778,2685
1365,"Simpson County, Mississippi",2042,26818,13842,2081,2316,386,15928,8803,36,84,2,38987,12094.918,8923
1366,"Smith County, Mississippi",1021,15919,8256,946,688,198,10582,3111,20,19,0,36494,8118.69,3150
1367,"Stone County, Mississippi",1173,18282,9079,536,1218,444,13822,3239,79,89,9,37001,9049.59,3407
1368,"Sunflower County, Mississippi",2408,25759,12178,2894,1842,661,6729,18077,19,84,0,35454,7006.448,18180
1369,"Tallahatchie County, Mississippi",1228,14041,6086,1437,799,425,4727,7390,4,10,3,33784,4001.685,7404
1370,"Tate County, Mississippi",2391,28419,14706,1446,1838,805,18019,8231,52,63,1,40134,14294.757,8346
1371,"Tippah County, Mississippi",1993,21976,11493,1700,1356,1118,16609,3447,20,24,0,42051,10768.24,3491
1372,"Tishomingo County, Mississippi",1583,19396,10027,1201,1089,537,17169,433,48,41,0,37593,10648.404,522
1373,"Tunica County, Mississippi",758,9807,5186,1809,597,191,1853,7516,13,27,0,40994,3206.889,7556
1374,"Union County, Mississippi",2809,28578,14688,1198,2052,1301,21560,3950,27,109,0,36387,14317.578,4086
1375,"Walthall County, Mississippi",1002,14423,7285,1242,916,203,7547,5706,42,48,8,34814,6836.502,5796
1376,"Warren County, Mississippi",2743,46030,23985,5175,4860,876,20909,21290,67,364,0,44422,19332.6,21721
1377,"Washington County, Mississippi",4259,45072,24070,6371,3833,584,11180,31919,48,302,5,43778,16496.352,32269
1378,"Wayne County, Mississippi",1671,20344,10466,1902,1422,343,11313,7708,31,35,2,36967,9053.08,7774
1379,"Webster County, Mississippi",760,9727,5070,797,833,155,7691,1782,14,13,1,43060,5242.853,1809
1380,"Wilkinson County, Mississippi",532,8727,4021,1048,515,70,2525,5764,16,8,0,34759,2574.465,5788
1381,"Winston County, Mississippi",1834,18116,9316,1659,1389,226,8856,8078,162,39,1,38970,7445.676,8279
1382,"Yalobusha County, Mississippi",995,12276,6390,1099,745,163,7331,4615,24,21,2,41336,5855.652,4660
1383,"Yazoo County, Mississippi",2114,28511,12397,3809,1746,1076,9184,15812,50,115,6,33672,7726.481,15977
1384,"Adair County, Missouri",1764,25468,13181,2768,2659,661,21590,1265,41,685,13,34867,9983.456,1991
1385,"Andrew County, Missouri",1091,17554,8770,619,2254,391,16756,138,40,89,0,48186,9935.564,267
1386,"Atchison County, Missouri",260,5180,2599,246,726,73,4983,22,25,7,0,53958,2973.32,54
1387,"Audrain County, Missouri",1829,25336,13543,1532,1771,731,21450,1304,63,114,2,42029,11831.912,1481
1388,"Barry County, Missouri",1781,35615,17909,2570,2840,3333,28058,102,316,808,70,37114,20549.855,1226
1389,"Barton County, Missouri",764,11732,5945,1031,1088,266,10367,27,145,37,2,42031,6182.764,209
1390,"Bates County, Missouri",834,16282,8247,768,1224,335,14799,155,92,48,9,44523,9069.074,295
1391,"Benton County, Missouri",1189,19305,9648,1500,1175,310,17934,75,100,51,0,40318,10926.63,226
1392,"Bollinger County, Missouri",956,12181,6050,614,619,153,9862,35,30,20,3,36548,6285.396,85
1393,"Boone County, Missouri",13835,179704,92472,14984,34150,8052,137771,17882,452,7772,120,51330,80507.392,26106
1394,"Buchanan County, Missouri",8368,87904,43519,5996,9818,5600,68391,4303,323,1048,426,42653,39029.376,5674
1395,"Butler County, Missouri",2805,42570,21628,3434,2447,901,35745,2463,198,304,12,40255,19326.78,2965
1396,"Caldwell County, Missouri",545,9052,4486,521,706,151,8172,65,34,26,7,41488,4987.652,125
1397,"Callaway County, Missouri",3778,44944,21985,1713,5198,965,38453,1943,141,222,30,42524,22921.44,2306
1398,"Camden County, Missouri",3143,45823,23102,2729,5388,1355,38714,247,177,221,28,40778,24973.535,645
1399,"Cape Girardeau County, Missouri",7754,78834,40751,5039,11163,2234,67393,6459,170,1300,14,47386,37524.984,7929
1400,"Carroll County, Missouri",650,8723,4417,394,747,132,7906,97,15,15,0,50990,4998.279,127
1401,"Carter County, Missouri",373,6085,3071,242,394,97,4794,11,17,18,1,35898,3115.52,46
1402,"Cass County, Missouri",5627,104687,53676,2412,13513,5583,89406,4904,502,841,78,50654,59462.216,6247
1403,"Cedar County, Missouri",516,14144,6962,1172,839,261,12899,57,100,42,7,34130,7595.328,199
1404,"Chariton County, Missouri",332,7449,3790,413,669,101,6925,144,15,3,3,49650,4193.787,162
1405,"Christian County, Missouri",6285,87324,44740,4271,11566,3012,78890,597,468,624,68,43602,52656.372,1689
1406,"Clark County, Missouri",371,6783,3336,320,376,50,6337,21,9,12,0,40825,3656.037,42
1407,"Clay County, Missouri",7134,246480,125529,8428,38628,18850,193282,17853,1009,6059,1004,51619,123732.96,24921
1408,"Clinton County, Missouri",1248,20503,10348,1171,2225,502,19264,202,71,85,5,46823,11809.728,358
1409,"Cole County, Missouri",7605,76630,37904,3635,13031,2661,61474,8041,175,965,56,51905,38238.37,9181
1410,"Cooper County, Missouri",1493,17522,8526,981,1927,322,14730,920,53,67,6,44486,8463.126,1040
1411,"Crawford County, Missouri",1706,23984,12213,1494,1412,482,20980,148,107,81,14,38430,12639.568,336
1412,"Dade County, Missouri",585,7571,3719,365,633,135,6995,34,50,24,0,38581,4201.905,108
1413,"Dallas County, Missouri",697,16841,8877,1017,700,320,15696,44,92,25,15,35840,9633.052,161
1414,"Daviess County, Missouri",468,8294,4129,255,804,113,7924,31,27,16,10,37380,4777.344,74
1415,"DeKalb County, Missouri",780,11872,4606,362,1035,227,9653,672,30,42,2,36799,5235.552,744
1416,"Dent County, Missouri",701,15518,7822,908,983,271,13203,52,61,54,7,36327,8146.95,167
1417,"Douglas County, Missouri",617,13335,6627,841,875,239,10602,35,74,24,0,31031,8041.005,133
1418,"Dunklin County, Missouri",2083,29657,15594,3047,1630,2042,21629,3176,70,78,4,38821,13345.65,3324
1419,"Franklin County, Missouri",6556,103629,52005,4470,10391,2205,95680,880,291,532,31,48108,56581.434,1703
1420,"Gasconade County, Missouri",675,14673,7344,453,1540,189,13705,18,25,51,9,43589,8598.378,94
1421,"Gentry County, Missouri",604,6576,3390,400,657,90,5851,15,6,9,1,46483,3439.248,30
1422,"Greene County, Missouri",21496,291574,149706,18933,42450,14392,246368,9987,1735,6182,375,47388,141996.538,17904
1423,"Grundy County, Missouri",679,9885,5008,695,892,241,9121,50,33,54,8,39098,4784.34,137
1424,"Harrison County, Missouri",633,8427,4248,508,628,168,7618,32,30,23,3,41238,4297.77,85
1425,"Henry County, Missouri",1432,21854,11108,1436,1549,573,19800,177,89,91,6,44780,11320.372,357
1426,"Hickory County, Missouri",425,9452,4857,620,461,132,7648,11,42,15,0,31380,4924.492,68
1427,"Holt County, Missouri",324,4374,2227,154,413,67,3992,4,30,2,0,56644,2506.302,36
1428,"Howard County, Missouri",617,10022,4939,567,1118,208,8826,542,34,27,3,43946,4790.516,603
1429,"Howell County, Missouri",2313,40130,20611,4627,2874,896,35972,180,265,217,17,37414,21630.07,662
1430,"Iron County, Missouri",408,10150,5133,686,628,177,8602,136,60,34,2,36530,5318.6,230
1431,"Jackson County, Missouri",23425,700733,362123,43235,104810,77785,419542,156542,2713,14981,1727,50209,302716.656,174236
1432,"Jasper County, Missouri",6020,120528,61837,9066,13815,11377,96388,2260,1894,1491,440,42488,59420.304,5645
1433,"Jefferson County, Missouri",16795,224777,112988,9063,23501,5552,203287,2295,617,1839,71,46027,121829.134,4751
1434,"Johnson County, Missouri",3214,53948,26253,2890,6081,2595,44415,2309,259,821,210,40207,25787.144,3389
1435,"Knox County, Missouri",150,3948,1964,220,251,23,3573,20,5,18,0,40933,1970.052,43
1436,"Laclede County, Missouri",2491,35680,18198,1919,2850,955,32482,262,197,190,17,38403,20623.04,649
1437,"Lafayette County, Missouri",2058,32697,16149,1315,2921,1047,29256,671,138,115,12,45825,16675.47,924
1438,"Lawrence County, Missouri",2293,38241,19324,2717,2987,2987,32401,134,333,171,40,36746,20764.863,638
1439,"Lewis County, Missouri",539,9898,4824,725,638,165,9315,185,30,22,0,39481,4889.612,237
1440,"Lincoln County, Missouri",3536,57590,28761,3610,5436,1541,53051,1072,193,235,27,44032,31328.96,1500
1441,"Linn County, Missouri",417,12004,6189,776,1067,289,11027,67,31,22,6,42456,6746.248,120
1442,"Livingston County, Missouri",1036,14969,8295,548,1411,239,13368,315,47,87,5,43804,7753.942,449
1443,"Macon County, Missouri",916,15154,7640,704,1322,276,13778,299,25,84,4,44785,7743.694,408
1444,"Madison County, Missouri",1200,12176,6151,481,820,342,11555,54,49,41,0,40312,6928.144,144
1445,"Maries County, Missouri",463,8791,4393,909,666,134,7796,23,42,7,0,37638,4773.513,72
1446,"Marion County, Missouri",2329,28572,14712,2136,3228,516,24930,1363,67,165,16,44121,15200.304,1595
1447,"McDonald County, Missouri",2013,22882,11251,1522,1353,2818,16667,421,493,376,868,31941,12836.802,1290
1448,"Mercer County, Missouri",131,3623,1829,136,310,155,3291,0,8,0,0,35358,1858.599,8
1449,"Miller County, Missouri",2024,25369,12760,1345,2298,466,22908,117,113,64,24,39349,14587.175,294
1450,"Mississippi County, Missouri",1137,13328,6067,1150,832,223,8814,3060,33,20,0,37483,5691.056,3113
1451,"Moniteau County, Missouri",1488,15907,7549,734,1573,864,13688,282,40,42,16,41930,8748.85,364
1452,"Monroe County, Missouri",516,8630,4252,705,656,159,7902,177,32,31,1,44528,4798.28,240
1453,"Montgomery County, Missouri",498,11414,5774,863,947,229,10444,101,22,50,5,46688,6494.566,173
1454,"Morgan County, Missouri",1444,20438,10277,1630,1182,446,19298,126,105,61,8,42880,10811.702,292
1455,"New Madrid County, Missouri",1615,17275,9053,1449,959,253,12610,2731,25,62,1,41953,8240.175,2818
1456,"Newton County, Missouri",3467,58288,29344,2821,6086,3607,47551,523,1351,798,790,41771,34098.48,2672
1457,"Nodaway County, Missouri",2348,22199,11077,1695,2142,427,19290,363,31,390,2,36315,9012.794,784
1458,"Oregon County, Missouri",532,10561,5364,1239,637,117,7990,25,65,8,0,33166,6114.819,98
1459,"Osage County, Missouri",1188,13613,6576,428,1524,125,12688,24,28,3,10,49250,8385.608,55
1460,"Ozark County, Missouri",378,9138,4635,809,481,109,8000,19,38,14,5,33722,5318.316,71
1461,"Pemiscot County, Missouri",1273,16330,8709,1885,829,415,10176,4297,29,35,4,40931,7136.21,4361
1462,"Perry County, Missouri",1852,19227,9808,647,1966,383,17657,102,29,123,0,45002,10940.163,254
1463,"Pettis County, Missouri",4186,42421,21397,2581,3289,4016,34751,1353,159,294,120,40971,22440.709,1806
1464,"Phelps County, Missouri",2480,44587,21147,4068,5433,1259,37941,1028,231,1506,20,42030,21134.238,2765
1465,"Pike County, Missouri",1275,18158,8320,1438,1374,434,15383,942,40,23,7,40471,8352.68,1005
1466,"Platte County, Missouri",2420,102848,52093,2520,20040,7161,81426,8135,391,2721,695,60698,55435.072,11247
1467,"Polk County, Missouri",2576,32031,16299,1970,3198,791,28682,242,190,131,4,36944,15983.469,563
1468,"Pulaski County, Missouri",2546,52359,22593,2450,5617,6079,35865,6039,334,1776,402,44732,23980.422,8149
1469,"Putnam County, Missouri",199,4746,2376,197,408,112,4446,11,5,0,0,39308,2591.316,16
1470,"Ralls County, Missouri",660,10258,5152,626,764,96,9713,114,26,17,4,44688,6165.058,157
1471,"Randolph County, Missouri",1599,24769,11896,1081,2197,572,21271,1351,102,95,9,42615,11121.281,1548
1472,"Ray County, Missouri",1115,22900,11578,806,1693,580,20893,227,133,76,8,46047,12572.1,436
1473,"Reynolds County, Missouri",414,6274,2993,345,554,99,5669,33,23,18,2,38107,3532.262,74
1474,"Ripley County, Missouri",673,13484,6835,825,735,127,9885,31,44,28,1,34297,6553.224,103
1475,"Saline County, Missouri",1994,22932,11505,1318,2479,2830,17473,1149,68,175,397,43076,10181.808,1392
1476,"Schuyler County, Missouri",199,4550,2339,225,215,47,3864,0,1,15,1,33550,2234.05,16
1477,"Scotland County, Missouri",227,4923,2551,136,311,35,4537,6,5,5,1,41576,2683.035,16
1478,"Scott County, Missouri",3328,38538,19778,3136,3410,935,30595,4476,84,149,2,44148,18575.316,4709
1479,"Shannon County, Missouri",408,8207,4149,1096,511,141,6451,3,37,13,0,33071,4407.159,53
1480,"Shelby County, Missouri",293,5975,2874,408,562,117,5749,20,20,1,0,45373,3423.675,41
1481,"St. Charles County, Missouri",29669,398472,202565,8468,74609,16011,335879,20672,623,11068,199,56879,225136.68,32363
1482,"St. Clair County, Missouri",458,9455,4717,453,715,178,8567,26,63,19,7,33058,5058.425,108
1483,"St. Francois County, Missouri",6539,66653,31044,3359,3876,1089,59474,2645,192,403,21,37377,31926.787,3240
1484,"St. Louis County, Missouri",69480,996179,523364,40897,190065,37178,624703,245168,1474,48552,264,78804,482150.636,295194
1485,"Ste. Genevieve County, Missouri",1412,17887,8833,467,1512,269,17127,320,54,29,2,44925,10642.765,403
1486,"Stoddard County, Missouri",2015,29255,15128,1751,1798,566,26610,298,67,90,2,41158,14803.03,455
1487,"Stone County, Missouri",1612,31875,16226,1431,3522,782,28296,79,215,115,20,41975,19188.75,409
1488,"Sullivan County, Missouri",656,6163,3139,443,451,1054,4507,208,26,29,1,44877,3106.152,263
1489,"Taney County, Missouri",3752,55563,29116,2160,6234,4329,46468,837,407,608,187,38859,30115.146,1852
1490,"Texas County, Missouri",1339,25518,12270,2678,1733,515,21992,780,142,65,6,32774,13754.202,987
1491,"Vernon County, Missouri",1082,20560,10574,1212,1609,426,17966,110,131,103,18,39496,10937.92,344
1492,"Warren County, Missouri",2021,35090,17720,2284,3269,1400,31103,718,116,143,0,45011,20773.28,977
1493,"Washington County, Missouri",1780,24819,11968,2062,1368,227,21378,610,78,40,1,33148,12955.518,728
1494,"Wayne County, Missouri",663,13058,6651,1022,685,155,10093,50,67,23,5,34018,7038.262,140
1495,"Webster County, Missouri",2423,39127,19150,2437,2936,790,35893,194,243,141,9,35845,22889.295,578
1496,"Worth County, Missouri",119,2001,1006,114,182,25,1887,0,4,4,5,41861,1120.56,8
1497,"Wright County, Missouri",1068,18256,9373,1207,982,370,16654,111,73,48,5,35480,9474.864,232
1498,"Beaverhead County, Montana",769,9454,4728,486,1434,431,8330,24,120,37,3,52501,5237.516,181
1499,"Big Horn County, Montana",2050,13302,6705,1511,1008,515,3407,11,8627,44,9,35950,5999.202,8682
1500,"Blaine County, Montana",603,6698,3417,960,778,158,2942,10,3621,13,0,36301,3000.704,3644
1501,"Broadwater County, Montana",294,6080,2910,210,914,200,6149,17,44,5,0,48786,3040.0,66
1502,"Carbon County, Montana",682,10689,5258,310,1707,261,9603,13,97,21,0,56900,5836.194,131
1503,"Carter County, Montana",135,1305,615,39,187,11,1341,0,7,1,0,53760,848.25,8
1504,"Cascade County, Montana",6634,81576,40323,4501,10952,4012,68794,1085,3725,908,105,52226,40951.152,5718
1505,"Chouteau County, Montana",371,5731,2878,329,951,159,4172,10,1347,18,0,48627,3432.869,1375
1506,"Custer County, Montana",987,11563,5847,550,1619,362,10701,71,192,52,7,51268,6163.079,315
1507,"Daniels County, Montana",138,1705,794,40,224,49,1467,0,34,13,0,64205,980.375,47
1508,"Dawson County, Montana",926,8824,4145,321,1161,288,7969,38,166,57,1,50972,5259.104,261
1509,"Deer Lodge County, Montana",847,9153,4319,798,1090,260,8514,23,222,33,2,45039,3908.331,278
1510,"Fallon County, Montana",268,2975,1514,132,235,63,2858,5,27,5,2,54203,1689.8,37
1511,"Fergus County, Montana",860,11167,5453,1029,1697,225,10566,21,124,38,0,48900,6074.848,183
1512,"Flathead County, Montana",8854,102001,51069,3379,16181,3329,93416,269,931,703,77,52740,56304.552,1903
1513,"Gallatin County, Montana",9454,111401,53605,5423,26802,5895,104003,493,922,1389,91,63432,55923.302,2804
1514,"Garfield County, Montana",72,1051,526,22,120,14,1125,0,9,2,1,44812,678.946,11
1515,"Glacier County, Montana",1324,13706,6941,1869,1263,301,3496,19,9085,39,16,41773,5359.046,9143
1516,"Golden Valley County, Montana",43,814,404,60,103,35,724,7,1,0,1,56481,512.006,8
1517,"Granite County, Montana",162,3325,1604,209,603,85,3066,0,24,3,0,49242,1729.0,27
1518,"Hill County, Montana",1639,16422,8235,1326,2249,500,11020,44,3671,79,8,50018,7800.45,3794
1519,"Jefferson County, Montana",777,12069,5924,433,2248,291,10926,15,161,49,0,52770,7531.056,225
1520,"Judith Basin County, Montana",77,1968,891,117,328,49,1883,8,1,4,2,56953,1228.032,13
1521,"Lake County, Montana",1471,30383,15393,2491,4485,1168,20373,64,6632,138,21,44068,16315.671,6834
1522,"Lewis and Clark County, Montana",4859,68714,34705,2978,13472,2599,62063,266,1233,551,44,54040,35593.852,2050
1523,"Liberty County, Montana",101,2455,1378,312,295,13,1856,2,10,6,0,51268,1364.98,18
1524,"Lincoln County, Montana",1089,19845,10038,1105,2209,561,17725,32,204,100,13,41129,11490.255,336
1525,"Madison County, Montana",509,8530,4211,209,1715,239,7955,11,34,30,6,57112,5126.53,75
1526,"McCone County, Montana",143,1826,844,10,180,32,1592,1,23,8,2,48924,1177.77,32
1527,"Meagher County, Montana",111,1795,841,78,293,46,1781,12,4,2,0,49730,1035.715,18
1528,"Mineral County, Montana",177,4330,2047,234,566,147,4044,10,63,21,5,43233,2277.58,94
1529,"Missoula County, Montana",6390,119062,59658,6736,24455,6004,99953,706,3009,1423,122,54353,54054.148,5138
1530,"Musselshell County, Montana",264,4682,2330,151,464,146,4274,4,87,22,5,49756,2977.752,113
1531,"Park County, Montana",876,16513,8263,897,2968,510,15636,62,142,75,0,55213,9214.254,279
1532,"Petroleum County, Montana",10,464,223,27,77,5,466,0,0,0,0,41080,299.744,0
1533,"Phillips County, Montana",426,4032,1981,93,333,112,3492,5,329,15,0,48341,2302.272,349
1534,"Pondera County, Montana",387,5911,2986,547,799,97,4644,4,891,25,11,56218,3008.699,920
1535,"Powder River County, Montana",102,1634,859,81,246,35,1529,5,31,0,0,44756,1153.604,36
1536,"Powell County, Montana",788,6843,2542,390,599,161,6016,64,402,23,3,47024,3489.93,489
1537,"Prairie County, Montana",124,1162,581,60,145,33,982,2,13,7,0,57918,741.356,22
1538,"Ravalli County, Montana",2156,43424,21882,2229,6022,1584,39695,88,323,241,29,49860,25707.008,652
1539,"Richland County, Montana",875,11097,5348,467,1134,605,9892,61,165,121,5,63761,5770.44,347
1540,"Roosevelt County, Montana",1390,11091,5641,1632,911,239,3587,32,6150,47,0,41531,4026.033,6229
1541,"Rosebud County, Montana",1027,9065,4527,703,690,234,4768,20,2908,32,2,50566,4750.06,2960
1542,"Sanders County, Montana",440,11804,5706,637,1399,346,10732,23,441,56,3,41398,6669.26,520
1543,"Sheridan County, Montana",357,3389,1652,109,443,107,3170,14,61,13,0,61236,1948.675,88
1544,"Silver Bow County, Montana",3033,34895,17070,3101,4952,1638,31081,126,480,214,20,50672,16226.175,820
1545,"Stillwater County, Montana",543,9562,4756,227,1278,269,8110,13,85,22,0,57382,5813.696,120
1546,"Sweet Grass County, Montana",314,3676,1854,118,461,98,3332,8,24,15,3,54287,2326.908,47
1547,"Teton County, Montana",312,6127,3116,432,834,85,5655,19,101,15,6,53172,3590.422,135
1548,"Toole County, Montana",673,4812,2158,128,584,178,4179,32,338,36,0,60089,2319.384,406
1549,"Treasure County, Montana",43,614,298,27,127,31,688,1,15,3,1,66721,423.66,19
1550,"Valley County, Montana",644,7424,3671,216,887,174,6353,15,674,19,0,54556,4038.656,708
1551,"Wheatland County, Montana",141,2138,1125,330,246,68,1850,3,11,3,0,42348,1267.834,17
1552,"Wibaux County, Montana",113,1037,526,20,164,27,859,2,5,2,2,48913,682.346,9
1553,"Yellowstone County, Montana",13847,160390,81262,5916,25909,10115,136514,1187,6546,1279,211,56588,84846.31,9012
1554,"Adams County, Nebraska",2285,31541,15807,1481,3488,3659,25779,247,119,415,9,53232,16338.238,781
1555,"Antelope County, Nebraska",427,6315,3148,255,634,221,5899,22,16,22,0,69121,3555.345,60
1556,"Arthur County, Nebraska",18,439,234,22,54,12,400,3,0,0,0,53618,265.595,3
1557,"Banner County, Nebraska",26,645,325,20,85,51,600,0,5,2,0,59097,529.545,7
1558,"Blaine County, Nebraska",16,467,221,2,50,11,397,1,0,1,0,70372,331.103,2
1559,"Boone County, Nebraska",418,5228,2640,126,477,183,5057,21,15,7,0,69564,3246.588,43
1560,"Box Butte County, Nebraska",783,10845,5354,589,1094,1246,8681,66,293,71,0,53723,6387.705,430
1561,"Boyd County, Nebraska",162,1882,958,72,207,33,1723,0,11,0,0,62078,1236.474,11
1562,"Brown County, Nebraska",207,2887,1497,85,389,176,2629,2,7,6,0,60280,1688.895,15
1563,"Buffalo County, Nebraska",4324,49594,24852,2261,7219,5062,42108,600,149,660,33,60230,24449.842,1409
1564,"Burt County, Nebraska",520,6503,3324,413,855,172,6197,19,72,35,17,53602,3589.656,126
1565,"Butler County, Nebraska",729,7997,4020,393,1067,482,7626,28,22,9,1,56101,4694.239,59
1566,"Cass County, Nebraska",1745,26022,12874,567,3706,988,24261,102,87,103,8,57220,15769.332,292
1567,"Cedar County, Nebraska",548,8483,4189,115,879,186,8010,25,13,9,2,58373,5369.739,47
1568,"Chase County, Nebraska",366,3707,1931,53,450,562,3209,20,2,11,0,68843,2365.066,33
1569,"Cherry County, Nebraska",251,5801,2881,143,836,148,4772,11,271,7,0,50817,3341.376,289
1570,"Cheyenne County, Nebraska",751,9428,4729,552,1327,751,8239,51,29,75,0,50334,4949.7,155
1571,"Clay County, Nebraska",549,6193,3037,170,642,523,5372,8,13,10,0,57104,3975.906,31
1572,"Colfax County, Nebraska",1442,10681,4595,530,896,4993,5018,375,26,50,2,49977,5468.672,451
1573,"Cuming County, Nebraska",817,8882,4388,171,1080,1112,7638,21,26,18,9,71653,5693.362,65
1574,"Custer County, Nebraska",637,10788,5387,482,1470,388,9804,48,32,19,2,54458,6429.648,99
1575,"Dakota County, Nebraska",3600,20124,10085,1463,1651,8811,9347,1603,526,602,154,47062,11128.572,2731
1576,"Dawes County, Nebraska",544,8685,4363,455,1362,328,6943,164,322,53,6,43101,4047.21,539
1577,"Dawson County, Nebraska",2468,23638,11573,1019,2051,8643,13529,1187,44,192,41,49096,13757.316,1423
1578,"Deuel County, Nebraska",70,1770,931,65,206,100,1686,1,7,6,0,43738,1099.17,14
1579,"Dixon County, Nebraska",490,5682,2818,159,672,796,4643,17,19,17,0,49974,3380.79,53
1580,"Dodge County, Nebraska",3784,36565,18431,1639,3495,6083,29501,215,133,183,12,52445,19891.36,531
1581,"Douglas County, Nebraska",53284,565739,286767,25024,103386,80820,381427,63706,2653,27593,410,65737,274949.154,93952
1582,"Dundy County, Nebraska",102,1928,936,54,269,103,1491,7,9,1,3,86360,1098.96,17
1583,"Fillmore County, Nebraska",408,5542,2807,126,635,177,5181,20,19,13,1,63206,3325.2,52
1584,"Franklin County, Nebraska",209,2970,1496,95,294,82,2741,6,3,14,0,57959,1847.34,23
1585,"Frontier County, Nebraska",150,2636,1275,102,318,81,2337,17,6,0,3,46216,1565.784,23
1586,"Furnas County, Nebraska",362,4712,2381,137,533,220,4235,9,19,6,0,53727,3076.936,34
1587,"Gage County, Nebraska",1837,21548,10700,1116,2350,635,20053,122,78,99,1,52843,11334.248,299
1588,"Garden County, Nebraska",92,1916,953,69,257,88,1722,3,3,2,1,50671,1122.776,8
1589,"Garfield County, Nebraska",127,2081,974,39,398,24,1752,3,0,0,0,47856,1421.323,3
1590,"Gosper County, Nebraska",158,2001,955,24,344,95,1746,2,4,11,0,59049,1324.662,17
1591,"Grant County, Nebraska",23,691,308,39,88,12,576,5,12,1,0,54922,400.78,18
1592,"Greeley County, Nebraska",178,2361,1183,175,212,52,2098,1,3,6,1,56500,1421.322,10
1593,"Hall County, Nebraska",5835,61338,30294,2818,6069,19181,39420,1815,215,688,25,47793,32447.802,2718
1594,"Hamilton County, Nebraska",712,9219,4652,145,1095,320,8796,27,30,14,0,61230,6001.569,71
1595,"Harlan County, Nebraska",179,3380,1692,224,513,90,2907,1,5,11,0,57828,2075.32,17
1596,"Hayes County, Nebraska",55,889,437,31,112,63,760,0,4,2,0,79926,544.068,6
1597,"Hitchcock County, Nebraska",176,2788,1352,213,210,87,2462,0,0,2,4,46667,1525.036,2
1598,"Holt County, Nebraska",675,10123,5025,133,1274,521,9325,41,38,50,1,59853,6235.768,129
1599,"Hooker County, Nebraska",47,741,367,33,150,11,663,4,1,1,0,54516,359.385,6
1600,"Howard County, Nebraska",470,6428,3176,129,810,146,6154,13,14,12,1,50857,4203.912,39
1601,"Jefferson County, Nebraska",555,7102,3677,297,814,361,6558,20,40,15,0,53407,4097.854,75
1602,"Johnson County, Nebraska",540,5118,2043,132,498,629,4101,311,52,76,0,39498,2338.926,439
1603,"Kearney County, Nebraska",583,6588,3322,321,930,385,6064,3,14,12,2,61585,4012.092,29
1604,"Keith County, Nebraska",583,8048,3948,381,842,750,7232,15,19,38,7,51040,4635.648,72
1605,"Keya Paha County, Nebraska",38,875,417,10,102,20,734,0,1,0,0,66705,534.625,1
1606,"Kimball County, Nebraska",339,3576,1748,135,254,262,3026,1,24,15,0,50075,1755.816,40
1607,"Knox County, Nebraska",673,8400,4259,280,857,185,6967,16,943,28,3,53356,5199.6,987
1608,"Lancaster County, Nebraska",22654,315976,157372,17226,56478,25844,251962,13369,1707,13975,170,52887,152300.432,29051
1609,"Lincoln County, Nebraska",3013,35042,17776,1518,3503,3011,29643,382,147,325,6,54043,19798.73,854
1610,"Logan County, Nebraska",69,896,421,57,124,23,665,0,0,4,0,58616,569.856,4
1611,"Loup County, Nebraska",36,690,325,21,88,18,565,0,0,1,0,61740,467.82,1
1612,"Madison County, Nebraska",3875,35023,17569,2063,4028,5514,27823,404,366,445,7,55104,17861.73,1215
1613,"McPherson County, Nebraska",21,420,213,17,71,3,378,0,4,2,0,62907,322.98,6
1614,"Merrick County, Nebraska",594,7826,3949,428,745,372,6941,41,25,29,3,50870,4241.692,95
1615,"Morrill County, Nebraska",404,4711,2281,231,579,648,3722,19,38,20,0,63120,2553.362,77
1616,"Nance County, Nebraska",347,3525,1777,107,274,60,3202,4,8,5,0,46091,2072.7,17
1617,"Nemaha County, Nebraska",480,6978,3478,274,894,208,6538,56,27,31,0,51548,3656.472,114
1618,"Nuckolls County, Nebraska",299,4204,2126,216,515,118,3835,4,4,3,0,59449,2593.868,11
1619,"Otoe County, Nebraska",1003,15965,8098,906,2009,1262,13867,82,36,86,0,57873,9291.63,204
